timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;Right;Left;Random;Middle
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4420;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4255;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4238;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4372;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4405;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4263;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4403;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4357;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4304;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4288;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4508;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4773;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4262;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4309;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4324;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4249;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4251;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;5590;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4257;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4251;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4384;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4845;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4273;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4265;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4361;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4250;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4295;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4346;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4242;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4231;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4260;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4353;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4252;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4281;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4333;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4251;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4254;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4298;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4362;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4260;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4282;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4248;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;5340;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Left;Unknown;SINGLE;4305;;;;;;;
;;;;;;;;;AVG;4382;;;;;;;
;;;;;;;;;MIN;4231;;;;;;;
;;;;;;;;;MAX;5590;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4152;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4131;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4160;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4108;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4129;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4100;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;5334;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4154;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4119;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4111;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;5548;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4117;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4115;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4180;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4145;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4110;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4105;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4168;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4115;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4116;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4249;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4168;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4094;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4107;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4219;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4119;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4101;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4167;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4134;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4147;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4112;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4185;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4113;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4108;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4111;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4184;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4113;;;;;;;
18.04.2026 23:36;QuickSort;Array;25000;int;Random;50;Right;Unknown;SINGLE;4065;;;;;;;
