timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9755;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9219;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9265;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9260;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9185;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9375;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9213;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9359;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9685;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9251;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;10439;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9237;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9196;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9220;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9203;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9245;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9231;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9198;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9263;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9201;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9223;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9195;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9212;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9262;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9168;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9241;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9240;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9259;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9312;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9180;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9337;;;;;;;
19.04.2026 18:01;QuickSort;Array;50000;float;Random;50;Middle;Unknown;SINGLE;9204;;;;;;;
