timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1613;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1661;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1729;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1628;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1635;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1734;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;2864;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1660;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1683;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1680;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1646;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1588;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1593;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1595;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1617;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1591;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1590;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1648;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1696;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1593;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1591;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1667;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1642;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1588;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1594;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1699;;;;;;
19.04.2026 18:01;QuickSort;SinglyList;10000;int;Random;50;Middle;Unknown;SINGLE;1669;;;;;;
