timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;142263;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;144930;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;139239;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;148574;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;141840;;10k;25k;50k;100k;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;140883;Tablica;1591;4529;9616;19582;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;139160;Lista jednokierunkowa;1678;6516;14671;40431;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;141538;Lista dwukierunkowa;1876;5986;14965;46130;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;145170;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;149897;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;143892;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;139648;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;149539;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;140249;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;152210;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;148575;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;139280;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;154239;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;152933;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;155462;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;148767;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;139592;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;153974;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;149734;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;146361;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;143292;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;147936;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;141456;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;160465;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;145769;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;158822;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;144981;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;139537;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;143096;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;140619;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;148681;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;138817;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;141875;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;141101;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;141031;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;146484;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;142939;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;147903;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;142515;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;143750;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;141126;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;150873;;;;;;;;
18.04.2026 23:38;BucketSort;Array;25000;int;Random;50;Unknown;Unknown;SINGLE;154915;;;;;;;;
;;;;;;;;;AVG;145834;;;;;;;;
;;;;;;;;;MIN;138817;;;;;;;;
;;;;;;;;;MAX;160465;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;568732;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;595474;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;599083;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;569670;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;579164;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;583914;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;576672;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;576276;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;607371;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;596079;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;600331;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;609080;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;585259;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;585479;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;558737;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;563593;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;590909;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;570742;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;564742;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;572226;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;584938;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;577198;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;589735;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;594841;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;577224;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;573261;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;596605;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;587681;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;607510;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;575166;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;569519;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;568440;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;582225;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;593425;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;571246;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;605782;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;574781;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;574261;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;610060;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;582556;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;592903;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;574364;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;577215;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;613069;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;619346;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;574955;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;593542;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;586990;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;575412;;;;;;;;
18.04.2026 23:38;BucketSort;Array;50000;int;Random;50;Unknown;Unknown;SINGLE;617180;;;;;;;;
;;;;;;;;;AVG;585499;;;;;;;;
;;;;;;;;;MIN;558737;;;;;;;;
;;;;;;;;;MAX;619346;;;;;;;;
18.04.2026 23:38;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2318263;;;;;;;;
18.04.2026 23:38;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2357873;;;;;;;;
18.04.2026 23:38;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2343315;;;;;;;;
18.04.2026 23:38;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2297428;;;;;;;;
18.04.2026 23:38;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2353543;;;;;;;;
18.04.2026 23:38;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2328262;;;;;;;;
18.04.2026 23:38;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2379346;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2418752;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2297964;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2337592;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2408152;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2311768;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2373368;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2354756;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2302332;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2361035;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2368671;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2361314;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2375033;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2345839;;;;;;;;
18.04.2026 23:39;BucketSort;Array;100000;int;Random;50;Unknown;Unknown;SINGLE;2327835;;;;;;;;
